"StatRec","Survey","F_CODE","Quarter","Year","Lusitanian","Boreal","ratio","Lat","Lon","WKT"
"38E9","NS-IBTS","27.4.b",1,2017,8,9,0.888888888888889,-0.5,54.75,"POLYGON ((-0.999999999700151 54.5000000000001,-0.999999999700151 54.9999999999001,0.000000000099988 54.9999999999001,0.000000000099988 54.5000000000001,-0.999999999700151 54.5000000000001))"
"38F0","NS-IBTS","27.4.b",1,2017,14,9,1.55555555555556,0.5,54.75,"POLYGON ((0.000000000099988 54.5000000000001,0.000000000099988 54.9999999999001,0.999999999900126 54.9999999999001,0.999999999900126 54.5000000000001,0.000000000099988 54.5000000000001))"
"38F1","NS-IBTS","27.4.b",1,2017,6,7,0.857142857142857,1.5,54.75,"POLYGON ((0.999999999900126 54.5000000000001,0.999999999900126 54.9999999999001,1.99999999970026 54.9999999999001,1.99999999970026 54.5000000000001,0.999999999900126 54.5000000000001))"
"38F2","NS-IBTS","27.4.b",1,2017,8,6,1.33333333333333,2.5,54.75,"POLYGON ((1.99999999970026 54.5000000000001,1.99999999970026 54.9999999999001,3.00000000039972 54.9999999999001,3.00000000039972 54.5000000000001,1.99999999970026 54.5000000000001))"
"38F3","NS-IBTS","27.4.b",1,2017,7,10,0.7,3.5,54.75,"POLYGON ((3.00000000039972 54.5000000000001,3.00000000039972 54.9999999999001,4.00000000019992 54.9999999999001,4.00000000019992 54.5000000000001,3.00000000039972 54.5000000000001))"
"38F4","NS-IBTS","27.4.b",1,2017,6,6,1,4.5,54.75,"POLYGON ((4.00000000019992 54.5000000000001,4.00000000019992 54.9999999999001,5.00000000000006 54.9999999999001,5.00000000000006 54.5000000000001,4.00000000019992 54.5000000000001))"
"38F5","NS-IBTS","27.4.b",1,2017,6,5,1.2,5.5,54.75,"POLYGON ((5.00000000000006 54.5000000000001,5.00000000000006 54.9999999999001,5.9999999998002 54.9999999999001,5.9999999998002 54.5000000000001,5.00000000000006 54.5000000000001))"
"38F6","NS-IBTS","27.4.b",1,2017,12,9,1.33333333333333,6.5,54.75,"POLYGON ((5.9999999998002 54.5000000000001,5.9999999998002 54.9999999999001,6.99999999960033 54.9999999999001,6.99999999960033 54.5000000000001,5.9999999998002 54.5000000000001))"
"38F7","NS-IBTS","27.4.b",1,2017,7,6,1.16666666666667,7.5,54.75,"POLYGON ((6.99999999960033 54.5000000000001,6.99999999960033 54.9999999999001,8.00000000029985 54.9999999999001,8.00000000029985 54.5000000000001,6.99999999960033 54.5000000000001))"
"38F8","NS-IBTS","27.4.b",1,2017,3,2,1.5,8.5,54.75,"POLYGON ((8.00000000029985 54.5000000000001,8.00000000029985 54.9999999999001,9.00000000009999 54.9999999999001,9.00000000009999 54.5000000000001,8.00000000029985 54.5000000000001))"
"39E8","NS-IBTS","27.4.b",1,2017,14,11,1.27272727272727,-1.5,55.25,"POLYGON ((-2.00000000039967 54.9999999999001,-2.00000000039967 55.4999999998002,-0.999999999700151 55.4999999998002,-0.999999999700151 54.9999999999001,-2.00000000039967 54.9999999999001))"
"39E9","NS-IBTS","27.4.b",1,2017,10,9,1.11111111111111,-0.5,55.25,"POLYGON ((-0.999999999700151 54.9999999999001,-0.999999999700151 55.4999999998002,0.000000000099988 55.4999999998002,0.000000000099988 54.9999999999001,-0.999999999700151 54.9999999999001))"
"39F0","NS-IBTS","27.4.b",1,2017,13,9,1.44444444444444,0.5,55.25,"POLYGON ((0.000000000099988 54.9999999999001,0.000000000099988 55.4999999998002,0.999999999900126 55.4999999998002,0.999999999900126 54.9999999999001,0.000000000099988 54.9999999999001))"
"39F1","NS-IBTS","27.4.b",1,2017,6,9,0.666666666666667,1.5,55.25,"POLYGON ((0.999999999900126 54.9999999999001,0.999999999900126 55.4999999998002,1.99999999970026 55.4999999998002,1.99999999970026 54.9999999999001,0.999999999900126 54.9999999999001))"
"39F2","NS-IBTS","27.4.b",1,2017,7,7,1,2.5,55.25,"POLYGON ((1.99999999970026 54.9999999999001,1.99999999970026 55.4999999998002,3.00000000039972 55.4999999998002,3.00000000039972 54.9999999999001,1.99999999970026 54.9999999999001))"
"39F3","NS-IBTS","27.4.b",1,2017,6,6,1,3.5,55.25,"POLYGON ((3.00000000039972 54.9999999999001,3.00000000039972 55.4999999998002,4.00000000019992 55.4999999998002,4.00000000019992 54.9999999999001,3.00000000039972 54.9999999999001))"
"39F4","NS-IBTS","27.4.b",1,2017,8,9,0.888888888888889,4.5,55.25,"POLYGON ((4.00000000019992 54.9999999999001,4.00000000019992 55.4999999998002,5.00000000000006 55.4999999998002,5.00000000000006 54.9999999999001,4.00000000019992 54.9999999999001))"
